,,                                                          ALL FARMS,,,,,,
,,,,,,,,
,,Goal,Helps Water Quality (OPTIONAL),How (Ecosystem/Ecological Benefit),Cost and Benefits,Considerations (OPTIONAL),Practices,
,Vegetation,A1 - Increase vegetation in riparian areas along streams and in wetlands. Include trees and tall shrubs for shading perennial streams. (PICTURE),"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
 stream temperature,
 dissolved oxygen, 
algae growth (chlorophyll a)","Increase nutrient plant uptake,
 filter pollutants from runoff,
 reduce streambank erosion, 
prevent surface erosion,
 increase infiltration, 
reduce soil compaction,
 provide shade to reduce stream and riparian air temperature,
 increase cover and organic material for habitat, 
and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs(potential):
 Increased time/cost to plant and maintain native, site capable vegetation and remove/prevent invasive vegetation.
 Increase in widlife conflicts.
 Decrease in farmable land. 

Benefits(potential):
Retention of land along streams
Increased wildlife and fish habitat
Stream bank stabilization","Financial incentives available to install and maitain for 5-10 years, depending on program and amount of land dedicated to project. Financial incentives may limit ability to remove sediment with the exception of tile drain outlets. ","
ODA 6 Streamside Vegetation: Good for People, Plants and Animals: https://www.oregon.gov/oda/Documents/Publications/naturalresources/Streamsidevegetation.pdf
ODA 5 - Affordable streamside improvements for landowners: https://www.oregon.gov/oda/Documents/Publications/NaturalResources/AffordableStreamsideImprovements.pdf
OSUExt 3 - Streams and Riparian Areas: Clean Water, Diverse Habitat:https://extension.oregonstate.edu/catalog/pub/em-9244-streams-riparian-areas-clean-water-diverse-habitat
OSUExt 11 - Winter farmscaping to enhance riparian vegetation along ponds and waterways: https://extension.oregonstate.edu/catalog/em-9705-winter-farmscaping-enhance-riparian-vegetation-along-ponds-waterways
OSUExt 4 - Streamside gardening: your garden, our shared watershed: https://extension.oregonstate.edu/gardening/techniques/streamside-gardening-your-garden-our-shared-watershed
OSU Ext 8 - WestSide - Establishing and Maintaining streamside tree buffers on Western Oregon farmland: https://extension.oregonstate.edu/catalog/em-8895-establishing-maintaining-streamside-tree-buffers-western-oregon-farmland
Clackamas SWCD 1 - Westside - Wet Season Erosion and Sediment Control Practices for Growers: https://vimeo.com/showcase/8457975
USDA SARE 1 - Eastside - Rangeland Management Strategies: https://www.sare.org/wp-content/uploads/Rangeland-Management-Strategies.pdf
ODA 1 - EastSide - Living on the Land: Got a stream? Grow plants!https://extension.oregonstate.edu/catalog/ec-1645-living-land-got-stream-grow-plants
NRCS 390 Riparian Herbaceous Cover: https://www.nrcs.usda.gov/sites/default/files/2022-11/390-NHCP-CPS-Riparian-Herbaceous-Cover-2022.pdf
NRCS 391 Riparian Forest Buffer:https://www.nrcs.usda.gov/sites/default/files/2022-09/Riparian_Forest_Buffer_391_CPS_10_2020.pdf
NRCS 315 Herbaceous weed treatment: https://www.nrcs.usda.gov/sites/default/files/2022-09/Herbaceous_Weed_Treatment_315_CPS_10_2020.pdf
NRCS 395 Stream habitat improvement and Management:https:https://www.nrcs.usda.gov/sites/default/files/2022-10/Stream_Habitat_Improvement_And_Management_395_PO.pdf 
NRCS 580 Streambank and Shoreline Protection: https://www.nrcs.usda.gov/sites/default/files/2022-10/Streambank_Shoreline_Protection_580_CPS_10_2020.pdf
NRCS 420 Wildlife habitat planting: https://www.nrcs.usda.gov/resources/guides-and-instructions/wildlife-habitat-planting-ac-420-conservation-practice-standard
NRCS 612 Tree-Shrub Establishment:https://www.nrcs.usda.gov/sites/default/files/2022-12/612-NHCP-CPS-Tree-Shrub-Establishment-2022.pdf
NRCS 643 Restoration of Natural Communities:https://www.nrcs.usda.gov/resources/guides-and-instructions/restoration-of-rare-or-declining-natural-communities-ac-643
NRCS 644 Wetland Wildlife Habitat Management:https://www.nrcs.usda.gov/sites/default/files/2022-11/644-NHCP-CPS-Wetland-Wildlife-Habitat-Management-2022.pdf 
NRCS 656 Constructed Wetland: https://www.nrcs.usda.gov/sites/default/files/2022-09/656_NHCP_CPS_Constructed_Wetland_2020_0.pdf
NRCS 657 Wetland Restoration: https://www.nrcs.usda.gov/sites/default/files/2024-01/657_NHCP_CPS_Wetland_Restoration_2023_0.pdf
NRCS 658 Wetland Creation: https://www.nrcs.usda.gov/sites/default/files/2024-10/658_NHCP_CPS_Wetland_Creation_2024.pdf
NRCS 659 Wetland Enhancement: https://www.nrcs.usda.gov/sites/default/files/2022-11/659-NHCP-CPS-Wetland-Enhancement-2022.pdf",
,,"A2 - Stream corridor, water conveyance, channel bank stability improvement.  (PICTURE)","Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
 stream temperature,
 dissolved oxygen, 
algae growth (chlorophyll a)","Increase nutrient plant uptake,
 filter pollutants from runoff,
 reduce streambank erosion, 
prevent surface erosion,
 increase infiltration, 
reduce soil compaction,
 provide shade to reduce stream and riparian air temperature,
 increase cover and organic material for habitat, 
and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs(potential):
Costs for permitting, installation and maintenance;
 Increased time/cost to plant and maintain native, site capable vegetation and remove/prevent invasive vegetation.
 Increase in widlife conflicts.
 Decrease in farmable land. 

Benefits(potential):
Retention of land along streams
Increased wildlife and fish habitat
Stream bank stabilization","Financial incentives and grant programs  focus on fish and wildlife habitat and water quaiity benefits. Financial incentives available to install and maitain for 5-10 years, depending on program and amount of land dedicated to project.","
OSU Ext 11 Walking the Streambank: Living on the Land Podcast: https://extension.oregonstate.edu/podcast/living-land/walking-stream-bank
NRCS 395 Stream habitat improvement and Management:https:https://www.nrcs.usda.gov/sites/default/files/2022-10/Stream_Habitat_Improvement_And_Management_395_PO.pdf 
NRCS 580 Streambank and Shoreline Protection: https://www.nrcs.usda.gov/sites/default/files/2022-10/Streambank_Shoreline_Protection_580_CPS_10_2020.pdf
NRCS 612 Tree-Shrub Establishment: https://www.nrcs.usda.gov/sites/default/files/2022-12/612-NHCP-CPS-Tree-Shrub-Establishment-2022.pdf",
,,A3 - Establish/Expand vegetated filter strip. Enhance vegetated field borders to reduce soil erosion. (PICTURE),"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
algae growth (chlorophyll a)","Promote vegetation between field activity and streams, ponds, springs, and wetlands. 
Vegetation to include mowable grasses, sedges, rushes, depending on design and site characteristics.
 Strip contoured for sheet flow (not concentrated flow) to filter sediment.","Costs: (potential)
Increases time/cost for maintaining vegetation (grass) and slope of filter strip (e.g., mow/maintain grasses to compete with weeds).
 Decreases farmable land if not currently used along streams. 
Benefits:(potential)
Decreases costs of maintaining drainage ditches and infrastructure (e.g., culverts, drain pipes, ponds) due to reduced sediment delivery.",Financial incentives typically available for establishment or expansion (not regular maintenance). ,"ODA 6 Field Borders: https://www.oregon.gov/oda/Documents/Publications/naturalresources/FieldBordersAgWaterQuality.pdf
NRCS 393 Vegetated filter strip: https://www.nrcs.usda.gov/sites/default/files/2022-09/Filter_Strip_393_CPS.pdf
NRCS 386 Field borders: https://www.nrcs.usda.gov/sites/default/files/2022-09/Filter_Strip_393_CPS.pdf",
,Waterway,A4 - Create two-stage drainage ditch/stream channel.  (PICTURE),"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
algae growth (chlorophyll a)","Increase nutrient plant uptake,
 filter pollutants from runoff,
 reduce streambank erosion, 
prevent surface erosion,
 increase infiltration, 
reduce soil compaction,
 provide shade to reduce stream and riparian air temperature,
 increase cover and organic material for habitat, 
and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs(potential):
Increased time/cost to establish (could be integrated with ditch cleaning).
 May increase time/cost to maintain vegetation (grass) in waterway depending on management goals (e.g., mow and maintain grasses to compete with reed canary grass and other weeds). 
May decrease farmable land if additional width is needed for side-slopes. 
Benefits(potential):
Decrease time/cost maintaining ditches depending on current practices. ",Financial incentives typically available for establishment (not regular maintenance). Allows for maintaining tile drain outlets. Decreases cost of ditch cleaning/maintenance due to efficient drainage design. ,"Part 654 National Engineering Handbook. Chapter 10. Two-Stage Channel Design 
  LINK",
,,A5 - Stream and Ditch Maintenance,"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
algae growth (chlorophyll a)","Increase nutrient plant uptake,
 filter pollutants from runoff,
 reduce streambank erosion, 
prevent surface erosion,
 increase infiltration, 
reduce soil compaction,
  ","Costs(potential):
 May increase time/cost to maintain vegetation (grass) in waterway depending on management goals (e.g., mow and maintain grasses to compete with reed canary grass and other weeds). 
Benefits(potential):
Decrease time/cost maintaining ditches depending on current practices. ",,"ODA 7 Guidance for Stream and Ditch Maintenance: https://www.oregon.gov/oda/Documents/Publications/naturalresources/StreamsideAreas.pdf
NRCS 607 Surface Drain, Field Ditch: https://www.nrcs.usda.gov/sites/default/files/2022-10/Surface_Drain_Field_Ditch_607_CPS_9_2020.pdf
NRCS 423 Hillside Ditch: https://www.nrcs.usda.gov/sites/default/files/2022-09/423_NHCP_CPS_Hillside_Ditch_2021_0.pdf
NRCS 388 Field Ditch: https://www.nrcs.usda.gov/sites/default/files/2022-09/Irrigation_Field_Ditch_388_CPS_10_2020.pdf
NRCS 428 Irrigation Ditch Lining: https://www.nrcs.usda.gov/sites/default/files/2022-09/Irrigation_Ditch_Lining_428_Overview_10_2020.pdf",
,Water Flow & Storage,A6 -Establish/Expand a grassed waterway (PICTURE),"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
algae growth (chlorophyll a)","Increase nutrient plant uptake,
 filter pollutants from runoff,
 reduce field & streambank erosion, 
prevent surface erosion,
 increase infiltration, 
reduce soil compaction,
 provide shade to reduce stream and riparian air temperature,
 increase cover and organic material for habitat, 
and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs:(potential)
May increase time/cost to maintain vegetation (grass) in waterway depending on management goals (e.g., mow and maintain grasses to compete with reed canary grass and other weeds). 
May decrease farmable land if additional width is needed for side-slopes. 
Benefits: (potential)
 Decrease time/cost maintaining ditches depending on current practices.
Decrease coss of weed control
Decrease cost of erosion control",Financial incentives typically available for establishment or expansion (not regular maintenance). Keeps ability to maintain tile drain outlets. ,"412 Grassed Waterway
  LINK",
,,"A7 - Water Retention Systems - Retention pond, sediment basins, catch basins, sediment traps, and berms, dikes, and levees.(PICTURE)","Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria,
 stream temperature,
 dissolved oxygen, 
algae growth (chlorophyll a)","Increase nutrient plant uptake, and filter pollutants from runoff. If reducing storm flows, may reduce streambank erosion, prevent surface erosion, and increase infiltration.","Costs: (potential)
Increase cost to establish and maintain - to include removing and spreading or hauling off sediment.
May not decrease farmable land.
Benefits:(potential)
Decreased costs of maintaining drainage diteches and infrastructure becasue it concenttrates sediment delivery into one or fewer places.",Financial incenives typically available for establishment (not regular maintenance). ,"554 Drainage water mgt, 
  LINK
587 Structure for water control,
 350 Sediment basin,
 638 Water and sediment control basin,
 436 Irrigation reservoir,
 AH-590 Pond handbook,
 378 Pond standards,
 570 Stormwater runoff control,
 356 berms, dikes and levees,
 402 dams.",
,,"A8 - Siphon or other cold water overflow for reservoirs. Aerators (e.g., bubblers, fountains) to add oxygen to reservoirs. (PICTURE)","Pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
stream temperature,
 dissolved oxygen, 
algae growth (chlorophyll a)","Decrease stream temperatures. Maintains aerobic conditions - binding phosphorus/mercury on sediment, increase dissolved oxygen, decrease algae production.","Costs: (potential)
Increase cost to establish and maintain
Benefits:(potential)
Decreased costs of managing/recucing algal blooms that impact water uses",Financial incentives may be available. Grant funding may be available for siphon if decreases downstream temperatures.,"590 Pond handbook, 
  LINK
378 Pond standards,
  LINK
 Additional designs from NRCS engineers.
  LINK",
